id,brought,name,address,latitude,longitude,contact_number,detail,image_address
a1,강서구,베스티호텔,부산광역시 강서구 구랑동 1205-2,35.12819599,128.8539747,051-710-9700,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/베스티호텔.png
a2,강서구,에어포트호텔,부산광역시 강서구 대저2동 17624,35.16569198,128.9545073,051-831-0606,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/에어포트호텔.png
a3,강서구,섬마을장어구이펜션,부산광역시 강서구 대항동 385,35.01415788,128.8275994,051-973-6793,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/섬마을장어구이펜션.png
a4,강서구,대항펜션,부산광역시 강서구 대항동 388,35.01373969,128.8274268,051-971-9348,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/대항펜션.png
a5,강서구,마틴호텔,부산광역시 강서구 명지동 1532-11,35.10112933,128.9285519,051-717-3872,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/마틴호텔.png
a6,강서구,JK호텔,부산광역시 강서구 명지동 1530-16,35.10020443,128.9285144,051-271-2237,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/JK호텔.png
a7,강서구,헤리티지디자인호텔,부산광역시 강서구 명지동 1530-9,35.10036501,128.928637,051-271-0467,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/헤리티지디자인호텔.png
a8,강서구,브라운도트호텔 명지점,부산광역시 강서구 명지동 1526-3,35.09919408,128.92803,051-271-3777,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/브라운도트호텔 명지점.png
a9,강서구,더포인트호텔,부산광역시 강서구 명지동 44595,35.09340432,128.908121,051-934-8600,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/더포인트호텔.png
a10,강서구,호텔오유,부산광역시 강서구 명지동 32752,35.09218239,128.9017599,051-911-5566,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/호텔오유.png
a11,강서구,오이아호텔명지,부산광역시 강서구 명지동 29983,35.093931,128.9001002,051-207-1202,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/오이아호텔명지.png
a12,강서구,씨엘오션호텔,부산광역시 강서구 명지동 33848,35.09073409,128.9020713,051-271-8686,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/씨엘오션호텔.png
a13,강서구,신라스테이,부산광역시 강서구 명지동 34700,35.09670494,128.9052621,051-661-9000,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/신라스테이.png
a14,강서구,넘버25호텔 명지오션시티점 비즈니스,부산광역시 강서구 명지동 13667,35.08047764,128.9029945,051-271-6566,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/넘버25호텔 명지오션시티점 비즈니스.png
a15,강서구,오션시티호텔,부산광역시 강서구 명지동 13606,35.08091563,128.9029961,051-271-0023,Y,C:/Users/KDT02/Desktop/new_team_project_1/image/accommodation_data_image/오션시티호텔.png
